sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,desom2_ant,cumprimento_meta2ant,mes_senth,IC22_23,IC2025,cumprimento_meta3,quant_sent22_23,quant_conc22_23,quant_sent25,quant_conc25
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,05,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,05,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,05,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,05,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,05,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,05,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,05,,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,06,01,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,06,02,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,06,03,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,06,04,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,06,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,06,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,06,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,06,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,06,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,06,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,06,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,06,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,06,,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,07,01,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,07,02,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,07,03,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,07,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,07,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,07,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,07,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,07,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,07,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,07,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,08,01,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,08,02,0,10,10,0,0,Inf,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,08,03,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,08,04,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,08,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,08,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,08,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,08,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,08,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,08,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,08,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,08,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,08,,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,09,01,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,09,02,0,2,2,0,0,Inf,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,09,03,0,2,2,0,0,Inf,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,09,04,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,09,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,09,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,09,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,09,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,09,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,09,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,09,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,09,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,09,,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,10,01,0,5,5,0,0,Inf,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,10,02,0,6,6,0,0,Inf,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,10,03,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,10,04,0,2,2,0,0,Inf,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,10,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,10,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,10,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,10,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,10,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,10,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,10,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,10,,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,11,01,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,11,02,0,11,11,0,0,Inf,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,11,03,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,11,04,0,3,3,0,0,Inf,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,11,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,11,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,11,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,11,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,11,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,11,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,11,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,11,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,11,,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,12,01,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,12,02,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,12,03,0,2,2,0,0,Inf,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,12,04,0,3,3,0,0,Inf,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,12,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,12,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,12,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,12,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,12,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,12,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,12,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,12,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G1,AL,UNIAO DOS PALMARES,47223,2ª VARA DO TRABALHO DE UNIÃO DOS PALMARES,12,,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,01,01,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,01,02,20,20,20,0,0,100,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,01,03,20,20,20,0,0,100,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,01,04,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,01,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,01,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,01,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,01,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,01,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,01,,5,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,02,01,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,02,02,6,6,6,0,0,100,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,02,03,57,57,57,0,0,100,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,02,04,8,8,8,0,0,100,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,02,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,02,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,02,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,02,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,02,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,02,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,02,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,02,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,02,,49,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,03,01,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,03,02,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT19,Conhecimento não criminal,Justiça do Trabalho,G2,AL,MACEIO,47229,GABINETE DA DESEMBARGADORA  ELIANE ARÔXA PEREIRA BARBOSA,03,03,1,1,1,0,0,100,,,,,,,,,,,,,,,,,
